,rang,movie_name,year,time,rating,votes,gross,director,stars
0,1,The Shawshank Redemption,1994,142,9.3,"2,588,516",$28.34M,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
1,2,The Godfather,1972,175,9.2,"1,783,891",$134.97M,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
2,3,The Dark Knight,2008,152,9.0,"2,559,183",$534.86M,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
3,4,The Lord of the Rings: The Return of the King,2003,201,9.0,"1,778,695",$377.85M,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
4,5,Schindler's List,1993,195,9.0,"1,317,263",$96.90M,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
5,6,The Godfather: Part II,1974,202,9.0,"1,231,711",$57.30M,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
6,7,12 Angry Men,1957,96,9.0,"764,634",$4.36M,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
7,8,Jai Bhim,2021,164,8.9,"188,941",#250,T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']"
8,9,Pulp Fiction,1994,154,8.9,"1,985,027",$107.93M,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
9,10,Inception,2010,148,8.8,"2,271,464",$292.58M,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
10,11,K.G.F: Chapter 2,2022,168,8.8,"97,426",0,Prashanth Neel,"['Yash', 'Sanjay Dutt', 'Srinidhi Shetty', 'Raveena Tandon']"
11,12,The Lord of the Rings: The Two Towers,2002,179,8.8,"1,606,486",$342.55M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
12,13,Fight Club,1999,139,8.8,"2,037,758",$37.03M,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
13,14,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,"1,799,926",$315.54M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
14,15,Forrest Gump,1994,142,8.8,"1,997,592",$330.25M,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
15,16,"Il buono, il brutto, il cattivo",1966,161,8.8,"743,043",$6.10M,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
16,17,Soorarai Pottru,2020,153,8.7,"110,282",0,Sudha Kongara,"['Suriya', 'Paresh Rawal', 'Achyuth Kumar', 'Gaurav Pareek']"
17,18,The Matrix,1999,136,8.7,"1,859,912",$171.48M,"Directors:Lana Wachowski, Lilly Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
18,19,Goodfellas,1990,145,8.7,"1,116,602",$46.84M,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
19,20,The Empire Strikes Back,1980,124,8.7,"1,251,718",$290.48M,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
20,21,One Flew Over the Cuckoo's Nest,1975,133,8.7,"983,935",$112.00M,Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
21,22,Everything Everywhere All at Once,2022,139,8.6,"54,362",#56,"Directors:Dan Kwan, Daniel Scheinert","['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan', 'James Hong']"
22,23,Interstellar,2014,169,8.6,"1,731,662",$188.02M,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
23,24,Cidade de Deus,2002,130,8.6,"741,505",$7.56M,"Directors:Fernando Meirelles, Kátia Lund","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']"
24,25,Sen to Chihiro no kamikakushi,2001,125,8.6,"732,894",$10.06M,Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']"
25,26,Saving Private Ryan,1998,169,8.6,"1,347,596",$216.54M,Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
26,27,The Green Mile,1999,189,8.6,"1,258,395",$136.80M,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
27,28,La vita è bella,1997,116,8.6,"676,954",$57.60M,Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
28,29,Se7en,1995,127,8.6,"1,588,324",$100.13M,David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
29,30,Terminator 2: Judgment Day,1991,137,8.6,"1,068,847",$204.84M,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
30,31,The Silence of the Lambs,1991,118,8.6,"1,386,087",$130.74M,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
31,32,Star Wars,1977,121,8.6,"1,323,243",$322.74M,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']"
32,33,Seppuku,1962,133,8.6,"53,970",#46,Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']"
33,34,Shichinin no samurai,1954,207,8.6,"339,249",$0.27M,Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']"
34,35,It's a Wonderful Life,1946,130,8.6,"445,119",#21,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']"
35,36,Asuran,2019,141,8.5,"26,407",0,Vetrimaaran,"['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy']"
36,37,Gisaengchung,2019,132,8.5,"744,265",$53.37M,Bong Joon Ho,"['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Cho', 'Choi Woo-sik']"
37,38,Whiplash,2014,106,8.5,"809,435",$13.09M,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
38,39,The Intouchables,2011,112,8.5,"832,289",$13.18M,"Directors:Olivier Nakache, Éric Toledano","['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']"
39,40,Sardar Udham,2021,164,8.5,"39,344",0,Shoojit Sircar,"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']"
40,41,The Prestige,2006,130,8.5,"1,294,585",$53.09M,Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']"
41,42,The Departed,2006,151,8.5,"1,286,797",$132.38M,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']"
42,43,The Pianist,2002,150,8.5,"805,712",$32.57M,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']"
43,44,Gladiator,2000,155,8.5,"1,454,913",$187.71M,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
44,45,American History X,1998,119,8.5,"1,096,878",$6.72M,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']"
45,46,The Usual Suspects,1995,106,8.5,"1,061,139",$23.34M,Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']"
46,47,Léon,1994,110,8.5,"1,127,232",$19.50M,Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
47,48,The Lion King,1994,88,8.5,"1,025,147",$422.78M,"Directors:Roger Allers, Rob Minkoff","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']"
48,49,Nuovo Cinema Paradiso,1988,155,8.5,"254,808",$11.99M,Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']"
49,50,Hotaru no haka,1988,89,8.5,"267,065",#48,Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']"
50,51,Back to the Future,1985,116,8.5,"1,161,398",$210.61M,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
